PostDate,Headline,Preview
Posted at 8:09 28 Jul 2017,RIP iPod nano and shuffle,They are the last two music players in the company's line-up that cannot play songs from its streaming service Apple Music and neither had been upgraded in years.
Posted at 5:40 27 Jul 2017,Trump takes credit for Foxxconn factory,The Taiwanese electronics firm says it will invest $10bn in a Wisconsin factory making LCD panels.
Posted at 14:52 26 Jul 2017,Apple faces $506m patent dispute payout,A judge more than doubles an existing fine after Apple fails to abide by the verdict.
Posted at 23:21 25 Jul 2017,"Apple to build new US plants, says Trump",President Trump says Apple is planning three new manufacturing plants in the United States.
Posted at 0:33 23 Jul 2017,'An Apple advert kick-started our career',"How Marian Hill went from cult artists to mainstream success, after Apple chose their song for an ad."
Posted at 10:34 21 Jul 2017,Chinese school makes iPads compulsory,A Chinese school is criticised by parents and social media users for making children bring an iPad.
Posted at 12:04 13 Jul 2017,Google announces London data centre,"The technology giant seeks to deliver a faster cloud computing service to European businesses,"
Posted at 16:28 7 Jul 2017,Qualcomm seeks iPhone sales ban,The mobile chip-maker has accused Apple of infringing six of its patents in the iPhone.
Posted at 15:00 29 Jun 2017,The iPhone and 2007's hits and misses,"As the iPhone turns 10, other inventions from 2007 haven't stood the test of time as well as Apple's revolutionary smartphone."
Posted at 13:05 29 Jun 2017,The iPhone is 10 years old,Ten years ago the first iPhone went on sale.
Posted at 15:44 26 Jun 2017,Chart rules changing to help new artists,Acts are only going to be allowed three songs in the top 100 at any one time.
Posted at 15:38 22 Jun 2017,Siri storm caused by economist's comments,He apologises for causing any offence after saying he finds a male voice more trustworthy on Siri.
Posted at 10:41 14 Jun 2017,Apple confirms self-driving car plans,"Tim Cook says he views Apple's project as being a ""core technology""."
Posted at 11:32 13 Jun 2017,New ransomware targets Apple Macs,"Malicious software targeting Apple's computers is being spread via the ""dark web""."
Posted at 16:43 12 Jun 2017,Apple and Dell join Toshiba chip bid,Toshiba is looking to sell its memory chip unit to help cover huge losses in its nuclear division.
Posted at 20:56 8 Jun 2017,"Young app maker: Change world, become turtle","Yuma Soerianto, a 10-year-old app developer from Melbourne, Australia, was the youngest attendee at Apple's developers' conference this week."
Posted at 18:31 6 Jun 2017,Apple: New voice-activated loudspeaker to rival Amazon's Echo and Google Home,The battle is on between the artificial intelligence systems which aim to take over the home
Posted at 17:01 6 Jun 2017,Apple's iOS 11 to end life for iPhone 5C,Some older apps on newer devices will also stop working when the operating system is installed.
Posted at 2:17 6 Jun 2017,"Apple's HomePod: Superb sound, but how smart?",Apple unveils a luxury smart home music speaker in an attempt to take on Amazon's Echo.
Posted at 23:34 5 Jun 2017,Hands-on with the new iPad Pro,"A hands-on with the new iPad Pro and some of the features Apple is adding to its mobile operating system, iOS. The announcement was made at Apple's annual developers' conference."
Posted at 23:22 5 Jun 2017,A closer look at Apple's Homepod speaker,"Apple has announced Homepod, a new voice-controlled speaker. The device will compete with Amazon's Alexa and Google Home."
Posted at 22:51 5 Jun 2017,A closer look at Apple's Homepod speaker,"Apple has announced Homepod, a new voice-controlled speaker. The device will compete with Amazon's Alexa and Google Home."
Posted at 22:28 5 Jun 2017,Hands-on with the new iPad Pro,"A hands-on with the new iPad Pro and some of the features Apple is adding to its mobile operating system, iOS. The announcement was made at Apple's annual developers' conference."
Posted at 19:56 5 Jun 2017,Apple HomePod speaker challenges Amazon,The voice-activated loudspeaker is powered by the Siri virtual assistant.
Posted at 11:43 5 Jun 2017,Apple 'caught by error 53 sting',Australian investigators claim to have received misleading information regarding Apple repairs.
Posted at 10:18 2 Jun 2017,Tech leaders defy Trump on climate deal,President Trump says the US will withdraw from the Paris climate accord - but US tech firms are backing it.
Posted at 11:24 25 May 2017,Apple's Ive: UK needs global talent,"The UK should keep its doors open to global talent after Brexit for its tech firms to thrive, Apple's chief designer Sir Jonathan Ive tells the BBC."
Posted at 9:43 25 May 2017,Apple's Ive says UK immigration is vital,Sir Jonathan Ive says Britain must keep its doors open to top talent if tech firms are to thrive.
Posted at 11:04 23 May 2017,Nokia makes millions in Apple patent row,The two technology firms have ended a dispute over the use of Nokia's patents.
Posted at 17:44 19 May 2017,Apple store thief spared jail despite 'dreadful criminal record',
Posted at 13:34 18 May 2017,App maker's code stolen in malware attack,The FBI is investigating and Apple are looking out for malicious versions of the apps after the theft.
Posted at 0:04 17 May 2017,Apple's Italian job for finding top talent,Apple is expanding its European academy to find the next generation of coding and app creators.
Posted at 12:41 16 May 2017,Is it time to say goodbye to MP3s?,"One of the main developers of the MP3 digital audio coding format says it has ""terminated"" its licensing programme."
Posted at 6:50 3 May 2017,Apple's iPhone sales in surprise drop,"Boss Tim Cook says customers have ""paused"" as the firm reports lower iPhone sales than a year ago."
Posted at 16:07 28 Apr 2017,Apple halts royalties in Qualcomm row,Apple sued chipmaker Qualcomm in January and is now withholding payments until the row is resolved.
Posted at 18:28 24 Apr 2017,Uber 'tracked iPhones to stop fraud',Report claims Apple boss Tim Cook personally intervened to stop ride sharing firm.
Posted at 15:22 19 Apr 2017,Apple settles patent case at last minute,Patent owner Unwired Planet had already beaten Huawei and Samsung in earlier disputes.
Posted at 9:52 19 Apr 2017,Apple adds Touch Bar to laptops,Apple refreshes its high-end laptops adding an interactive thin display above its keyboard.
Posted at 20:22 14 Apr 2017,Apple granted self-driving test permit,The company has permission to try out autonomous technology on the streets of California.
Posted at 15:06 12 Apr 2017,Apple takes Swatch to court over ad,The tech giant says the watchmaker's Tick Different slogan is too similar to its own marketing.
Posted at 14:22 6 Apr 2017,Apple in court over third-party repairs,The iPhone maker is accused in Australia of refusing to fix devices previously serviced by others.
Posted at 17:51 4 Apr 2017,Apple admits to bad bet on its Mac Pro,The firm was caught out by the limited ability of the computer to draw heat away from its parts.
Posted at 8:53 4 Apr 2017,"Boy, 11, racks up £6,000 iPad game bill",Alfie Dobson spent £99 on more than 50 in-app purchases linked to his dad's credit card.
Posted at 12:25 3 Apr 2017,Imagination shares crash on Apple move,The UK chip designer faces the loss of lucrative royalty payments from its biggest customer.
Posted at 12:21 3 Apr 2017,Laptop makers 'overstating' battery life,"Some laptops have less than half the battery life promised on the box, a Which? study finds."
Posted at 8:46 31 Mar 2017,Australian banks lose Apple Pay bargain bid,Banks are not allowed to collectively negotiate for their own apps to compete with Apple Pay.
Posted at 6:02 29 Mar 2017,Galaxy S8: Samsung's most important yet?,"After the Note 7 fiasco, Samsung's latest launch could be a make or break moment."
Posted at 11:16 27 Mar 2017,Apple wins Chinese iPhone 6 patent row,The win removes the threat that Apple would not be able to sell the iPhone 6 and 6 Plus in China
Posted at 6:45 24 Mar 2017,Why Apple's red iPhones are not 'Red' in China,"Apple's Red iPhone is going on sale, but in China it is doing things a bit differently. Why?"
Posted at 9:09 23 Mar 2017,Apple 'paid zero tax' in New Zealand,Apple is under scrutiny following reports it has paid no tax in New Zealand since 2007.
Posted at 15:03 21 Mar 2017,Apple launches red iPhone 7 and video app,The iPhone 7 and 7 Plus now comes in a new colour and a video app aims to appeal to iOS users.
Posted at 16:40 17 Mar 2017,Man dies charging iPhone in bath,Richard Bull is believed to have plugged charger into an extension cord and rested it on his chest.
Posted at 11:39 15 Mar 2017,Apple found guilty of Russian price-fixing,"Apple told retailers to maintain set prices for iPhones, according to Russian competition watchdog."
Posted at 16:38 9 Mar 2017,Would this make you read the T&Cs?,iTunes' notoriously long terms and conditions are explained in a graphic novel.
Posted at 1:47 5 Mar 2017,Has wearable tech had its day?,"It's been a rollercoaster year for wearables in terms of sales, and experts are divided on their future."
Posted at 18:43 24 Feb 2017,Apple checking 'exploding' iPhone video,A video of a smoking iPhone 7 Plus has gone viral on Twitter - Apple is investigating.
Posted at 17:55 24 Feb 2017,"Social Buzz: iPhone 7 explodes, and Depeche Mode v alt-right",Find out what's buzzing in the social media world today
Posted at 11:36 21 Feb 2017,FBI pressured on iPhone hack tool cost,Three news organisations have asked a judge to force the FBI to reveal how much it paid to unlock an iPhone.
